address,city,type,price,bedrooms,bathrooms,sqft,days_on_zillow,url,zip
15 Homer Ln,Menlo Park,House For Rent,4999,3.0,3.0,1600.0,9,http://www.zillow.com/homes/for_sale//homedetails/15-Homer-Ln-Menlo-Park-CA-94025/15599568_zpid/,94025
484 Oconnor St,Menlo Park,House For Rent,5900,3.0,2.0,1610.0,10,http://www.zillow.com/homes/for_sale//homedetails/484-Oconnor-St-Menlo-Park-CA-94025/15587456_zpid/,94025
912 Theresa Ct,Menlo Park,House For Rent,6500,4.0,2.0,1880.0,12,http://www.zillow.com/homes/for_sale//homedetails/912-Theresa-Ct-Menlo-Park-CA-94025/15580631_zpid/,94025
965 San Mateo Dr,Menlo Park,House For Rent,12500,4.0,3.5,3061.0,13,http://www.zillow.com/homes/for_sale//homedetails/965-San-Mateo-Dr-Menlo-Park-CA-94025/15595451_zpid/,94025
Mills Ct,Menlo Park,House For Rent,12000,4.0,2.0,2600.0,14,http://www.zillow.com/homes/for_sale//homedetails/Mills-Ct-Menlo-Park-CA-94025/2094891719_zpid/,94025
1070 Pine St,Menlo Park,House For Rent,5980,3.0,2.0,1800.0,14,http://www.zillow.com/homes/for_sale//homedetails/1070-Pine-St-Menlo-Park-CA-94025/15581373_zpid/,94025
165 Hanna Way,Menlo Park,House For Rent,12500,4.0,3.0,2640.0,18,http://www.zillow.com/homes/for_sale//homedetails/165-Hanna-Way-Menlo-Park-CA-94025/15584517_zpid/,94025
2109 Camino De Los Robles,Menlo Park,House For Rent,4400,3.0,2.0,1200.0,20,http://www.zillow.com/homes/for_sale//homedetails/2109-Camino-De-Los-Robles-Menlo-Park-CA-94025/15598291_zpid/,94025
Prospect St,Menlo Park,House For Rent,8000,4.0,2.0,2250.0,20,http://www.zillow.com/homes/for_sale//homedetails/Prospect-St-Menlo-Park-CA-94025/2095988775_zpid/,94025
690 Sharon Park Dr APT 15,Menlo Park,Apartment For Rent,4695,3.0,2.0,1288.0,26,http://www.zillow.com/homes/for_sale//homedetails/690-Sharon-Park-Dr-APT-15-Menlo-Park-CA-94025/2095020180_zpid/,94025
